230.0558212104950j,18.04585140556371-181.75457961013552j,-32.982664305325585-44.88965779208577j,9.432706899312711-51.40148039058771j,-245.00319398859904-102.31719509167097j,-54.67321974680952+157.10278967788233j,-54.40987408486046+69.48174695328143j,-116.56369736500108+42.79585877897824j,275.29107150624304-54.061960764331495j,71.43851892923549+163.66720895792764j,147.3151992868572+84.56996797819129j,126.99066215686798-17.65039011566981j,-52.388139007445034-227.40545572396414j,50.064030227813475+12.961176669614092j,10.667668242371859+104.74335369778188j,74.45938175173225-12.030432406527225j,73.55479474538748-0.10776577382772734j,15.414530624303179-74.88784746282792j,-87.9671382826174-11.209702248248865j,-201.6638829002727+126.30499000127381j,50.51597813937951+173.86410253317277j
230.0561141387480j,12.716020513290065-186.48239623490574j,-44.550762510743006-42.55168691594997j,17.66764098781666-47.03172213778036j,-250.07417221734588-103.05149622844412j,-60.419636693441376+152.62811067950912j,-47.087797408284594+82.23533242025044j,-115.11238056928603+51.042274134973674j,281.23010814681345-39.58682344374912j,92.97598256077524+171.209345650672j,161.82177322121407+82.86427655113965j,135.2804719966485-17.59720186620926j,-82.95815008307365-232.70334716197357j,42.48703039050651+46.371410382500265j,3.9812108514192683+90.77117296029877j,77.06109588269327-6.097874312873901j,74.63171990192303-9.951351800979356j,12.639743219278207-81.35513019879383j,-75.56840845544497-9.594841789432387j,-198.23968580125077+121.61190347667566j,66.20024710570345+176.2680093270102j
230.0564736472950j,7.919352137542134-191.54247410353793j,-54.81702396738321-38.10917112867127j,27.8034665983081-44.46486309860262j,-252.23944632470324-103.3767290167767j,-64.78252146185298+147.6901120027154j,-41.25202055948314+92.75402877441434j,-109.87656625286357+65.22454176304589j,287.7344478624421-24.92177937562685j,107.5965623803205+181.09664717655437j,175.18463373512378+79.72932061429323j,144.28602582941204-17.677057770374564j,-115.50370270929773-236.64180813826545j,36.76071814148237+80.33300027653469j,-7.593155614415171+76.71409317818362j,84.00589879377361+1.3327169525748177j,74.8710201578426-22.93008694990838j,10.023198644771442-88.78416172499692j,-61.484394853066206-7.327110953750535j,-189.96412666991768+115.9541737659663j,79.89261207144352+178.50106873716197j
230.0568767304210j,3.1582146747916484-194.24469612501164j,-65.56052729097522-28.45261126928878j,38.23335626928627-43.24618052986155j,-257.6476038839715-101.60564660366292j,-68.4937412883688+143.69897617522452j,-32.576472156921184+102.21568180841334j,-102.40528362526533+80.34988171956064j,293.8011477140092-7.5053146818131795j,122.13508518081775+197.7321786285941j,187.66865177048606+77.05051988264977j,153.8643274277586-18.582753266088602j,-148.10580178326776-240.1836061028301j,35.09775970833403+112.95168531639042j,-21.58589480543044+60.791458774268165j,91.73215916963503+8.77236056750046j,75.37961673870963-37.35163655810814j,7.1225187338776905-96.65758060977103j,-47.12036421449002-6.077344098979528j,-185.24891960974122+111.57568774864036j,96.5159831643276+178.9156958959891j
230.0572975930280j,-3.5580802039696295-198.84826010226334j,-73.07375465481144-19.749663793124625j,46.76468131980896-42.06992034881339j,-264.1766731953287-102.65920582094968j,-73.32139395755743+140.2845094359365j,-21.71226765569292+111.68093188333606j,-94.35109542773233+92.71652234770504j,300.5104888628508+10.043954224151696j,131.2452068375082+218.1585409490748j,199.5947923582452+69.35707076515843j,161.2853673968998-23.69556023057362j,-179.18589096285456-241.78685275898874j,36.86980365567287+146.68761592749104j,-38.70926062156201+44.36437641784681j,101.20334356455561+16.640010317705624j,74.99271621277933-52.47796711444764j,4.5959850160565345-105.84002958450617j,-32.1808643429211-5.5592791734040885j,-178.87328652017808+108.69090145643837j,109.47422133867578+178.76321207005526j
230.0577093016240j,-10.057915546386997-203.17275159258526j,-82.32530432299671-10.787038894684429j,57.49468482440612-38.91809756090504j,-266.47289214584043-103.59682143954944j,-78.5112258802436+136.6386681573156j,-10.23991038067151+117.66008993950112j,-85.04153361674526+102.38143072466437j,307.10042965310595+24.6548350087226j,139.54984849471384+240.50467604342924j,207.11124019032465+63.72452553633893j,169.5224977219654-24.922166192644852j,-206.06445227528388-241.3141836796229j,40.675843420643226+180.53113662945992j,-57.98427210782774+28.722886820785043j,107.65971562887214+22.86160326527099j,73.89367352146257-64.38071554990711j,1.638667264555992-110.57454483334453j,-16.256252317010304-5.924802804920951j,-170.83094290313642+103.45153819748772j,121.00692736845025+177.8107822661982j
230.0580855082340j,-18.449294955848018-204.72037337342906j,-92.70231146801186-1.7148722247177948j,68.98675585177276-39.87561761750778j,-269.2145282225347-104.56203758860875j,-82.91333318937077+135.13966662443102j,-0.032633924181137836+121.64176370963423j,-74.21455691987433+112.35413586748203j,315.6521575583786+36.38566893810422j,145.80965163989396+264.14777100669966j,211.85440079806526+53.5428992050805j,180.86729394007222-28.77332899146043j,-227.00971650072347-236.55242085660433j,44.1360793821341+212.28134390252086j,-79.39971789303536+16.936907382272423j,116.19130423593312+28.499274091923077j,71.91690976980317-72.35927802223495j,-1.9313178045332364-116.71721106439216j,-5.239166893503519-8.490927807143317j,-166.97013304055798+97.33114704139099j,130.35472239631324+172.7764654593658j
230.0584021370360j,-26.91323317816545-209.6593046057382j,-99.81680118384183+7.841517173701895j,81.73848309611284-43.75236650070794j,-272.50165984844875-103.44723851357148j,-85.17681636704191+132.85679661101994j,11.630122836842581+126.42328053344771j,-66.08419442744403+119.30714235980803j,322.69898017428494+47.402970648900194j,149.73045863661633+290.63752521942814j,214.1930242273545+43.90115077845298j,191.2128817311521-35.7656232155644j,-242.50448077379062-226.1846690707323j,50.30284606784467+243.4525811891276j,-105.91592413841333+8.050128543088974j,122.78793864783242+33.27062330468921j,70.4734449171293-78.55360166345764j,-7.893185087640051-120.54073912878519j,4.806325637061596-11.265216998346293j,-160.0870320975+84.04613090035978j,136.45127031086045+168.76765582603372j
230.0586389253620j,-34.82641006861006-212.98842309114247j,-108.14363903099286+21.315088307191886j,91.26183831397668-45.286627791847174j,-274.3735054239179-103.01135382732086j,-87.98184795529949+128.12190274267957j,22.711510768173838+130.35990758676763j,-53.85538436697964+120.45536106023687j,327.44730336790496+52.15875106581122j,151.85125041768265+315.2370771111867j,214.68966437096748+31.886322619237983j,200.28707671339788-41.78855048075053j,-251.56752968049028-210.6748074963824j,55.97322084955809+270.2081350391212j,-131.9035573957221+4.277185498304334j,128.178309969629+39.256978354403984j,64.75159545887013-80.42925441833574j,-14.035296900946584-120.91501279327127j,16.50942154030819-13.106079724707094j,-150.92528564043863+73.86354012335798j,136.54844132891725+164.1640848749426j
230.0587807206390j,-39.88617298203456-215.31429965794908j,-113.15063767553748+32.439832148733096j,104.08682327893034-47.70014435332959j,-274.0652481386642-103.05844018286382j,-90.39083870795704+126.05056245775637j,31.460872989643597+130.415657335292j,-43.58708122446188+124.1867503000741j,333.15404581678933+53.900731753885665j,149.62535898772478+338.1893109082055j,213.15075292511432+22.130705025636765j,212.65806447857503-48.529069948515854j,-252.02576412259833-190.08663180010822j,61.71281603607792+293.3128570601709j,-156.4073283186789+4.920140467582569j,134.3291407523006+41.42886830902512j,58.08226217167252-82.29678169279805j,-18.827942047727362-121.33031049065946j,26.80116820219106-17.220052478970956j,-145.37328969141814+61.47049760668571j,137.9040737675042+159.2768016895763j
